#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 17 999 99.0 99.0  0.94  8.33  4.72  79 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 00 47 999 99.0 99.0  0.95  7.69  4.85  79 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 01 17 999 99.0 99.0  0.90  7.69  4.83  75 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 01 47 999 99.0 99.0  0.89  7.69  4.79  73 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 02 17 999 99.0 99.0  0.91  7.69  4.96  76 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 02 47 999 99.0 99.0  0.91  8.33  4.96  76 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 03 17 999 99.0 99.0  0.87  7.69  4.88  79 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 03 47 999 99.0 99.0  0.85  7.69  4.96  78 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 04 17 999 99.0 99.0  0.86  6.67  5.00  68 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 04 47 999 99.0 99.0  0.83  7.69  4.65  76 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 05 17 999 99.0 99.0  0.89  7.69  4.53  78 9999.0 999.0  10.3 999.0 99.0 99.00
2015 01 01 05 47 999 99.0 99.0  0.91  7.69  4.35  76 9999.0 999.0  10.4 999.0 99.0 99.00
2015 01 01 06 17 999 99.0 99.0  0.94  7.69  4.02  87 9999.0 999.0  10.3 999.0 99.0 99.00
2015 01 01 06 47 999 99.0 99.0  0.94  8.33  4.14  72 9999.0 999.0  10.3 999.0 99.0 99.00
2015 01 01 07 17 999 99.0 99.0  0.91  8.33  4.16  72 9999.0 999.0  10.3 999.0 99.0 99.00
