Distance (m),Depth (m)
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.968782712849446823e-04
2.000000000000000000e+00,2.043967574857555054e-03
3.000000000000000000e+00,3.141167080515864640e-03
4.000000000000000000e+00,4.288375958057907833e-03
5.000000000000000000e+00,5.485493377281719027e-03
6.000000000000000000e+00,6.732418507985331313e-03
7.000000000000000000e+00,8.029050519966779084e-03
8.000000000000000000e+00,9.375288583024096734e-03
9.000000000000000000e+00,1.077103186695531865e-02
1.000000000000000000e+01,1.221617954155847750e-02
1.100000000000000000e+01,1.371063077663160767e-02
1.200000000000000000e+01,1.525428474197274356e-02
1.300000000000000000e+01,1.684704060737992129e-02
1.400000000000000000e+01,1.848879754265117178e-02
1.500000000000000000e+01,2.017945471758452944e-02
1.600000000000000000e+01,2.191891130197802517e-02
1.700000000000000000e+01,2.370706646562970032e-02
1.800000000000000000e+01,2.554381937833758581e-02
1.900000000000000000e+01,2.742906920989971603e-02
2.000000000000000000e+01,2.936271513011412190e-02
2.100000000000000000e+01,3.134465630877884129e-02
2.200000000000000000e+01,3.337479191569190512e-02
2.300000000000000000e+01,3.545302112065135125e-02
2.400000000000000000e+01,3.757924309345520714e-02
2.500000000000000000e+01,3.975335700390151411e-02
2.600000000000000000e+01,4.197526202178829963e-02
2.700000000000000000e+01,4.424485731691359808e-02
2.800000000000000000e+01,4.656204205907545080e-02
2.900000000000000000e+01,4.892671541807188523e-02
3.000000000000000000e+01,5.133877656370094966e-02
3.100000000000000000e+01,5.379812466576065766e-02
3.200000000000000000e+01,5.630465889404904362e-02
3.300000000000000000e+01,5.885827841836416274e-02
3.400000000000000000e+01,6.145888240850403555e-02
3.500000000000000000e+01,6.410637003426668257e-02
3.600000000000000000e+01,6.680064046545014511e-02
3.700000000000000000e+01,6.954159287185250615e-02
3.800000000000000000e+01,7.232912642327171682e-02
3.900000000000000000e+01,7.516314028950586701e-02
4.000000000000000000e+01,7.804353364035296337e-02
4.100000000000000000e+01,8.097020564561106803e-02
4.200000000000000000e+01,8.394305547507818765e-02
4.300000000000000000e+01,8.696198229855237050e-02
4.400000000000000000e+01,9.002688528583166483e-02
4.500000000000000000e+01,9.313766360671404954e-02
4.600000000000000000e+01,9.629421643099762840e-02
4.700000000000000000e+01,9.949644292848039417e-02
4.800000000000000000e+01,1.027442422689603951e-01
4.900000000000000000e+01,1.060375136222356657e-01
5.000000000000000000e+01,1.093761561581041986e-01
5.100000000000000000e+01,1.127600690463640976e-01
5.200000000000000000e+01,1.161891514568133554e-01
5.300000000000000000e+01,1.196633025592500066e-01
5.400000000000000000e+01,1.231824215234720993e-01
5.500000000000000000e+01,1.267464075192776818e-01
5.600000000000000000e+01,1.303551597164647191e-01
5.700000000000000000e+01,1.340085772848313428e-01
5.800000000000000000e+01,1.377065593941755040e-01
5.900000000000000000e+01,1.414490052142952647e-01
6.000000000000000000e+01,1.452358139149886873e-01
6.100000000000000000e+01,1.490668846660537505e-01
6.200000000000000000e+01,1.529421166372885443e-01
6.300000000000000000e+01,1.568614089984910753e-01
6.400000000000000000e+01,1.608246609194593502e-01
6.500000000000000000e+01,1.648317715699915142e-01
6.600000000000000000e+01,1.688826401198854632e-01
6.700000000000000000e+01,1.729771657389392869e-01
6.800000000000000000e+01,1.771152475969510198e-01
6.900000000000000000e+01,1.812967848637187240e-01
7.000000000000000000e+01,1.855216767090403784e-01
7.100000000000000000e+01,1.897898223027140729e-01
7.200000000000000000e+01,1.941011208145377587e-01
7.300000000000000000e+01,1.984554714143096088e-01
7.400000000000000000e+01,2.028527732718275189e-01
7.500000000000000000e+01,2.072929255568895790e-01
7.600000000000000000e+01,2.117758274392938234e-01
7.700000000000000000e+01,2.163013780888382864e-01
7.800000000000000000e+01,2.208694766753210026e-01
7.900000000000000000e+01,2.254800223685400062e-01
8.000000000000000000e+01,2.301329143382933318e-01
8.100000000000000000e+01,2.348280517543789858e-01
8.200000000000000000e+01,2.395653337865950583e-01
8.300000000000000000e+01,2.443446596047395281e-01
8.400000000000000000e+01,2.491659283786104850e-01
8.500000000000000000e+01,2.540290392780059081e-01
8.600000000000000000e+01,2.589338914727238872e-01
8.700000000000000000e+01,2.638803841325623734e-01
8.800000000000000000e+01,2.688684164273195121e-01
8.900000000000000000e+01,2.738978875267932267e-01
9.000000000000000000e+01,2.789686966007815516e-01
9.100000000000000000e+01,2.840807428190826878e-01
9.200000000000000000e+01,2.892339253514944475e-01
9.300000000000000000e+01,2.944281433678149762e-01
9.400000000000000000e+01,2.996632960378423638e-01
9.500000000000000000e+01,3.049392825313745337e-01
9.600000000000000000e+01,3.102560020182095757e-01
9.700000000000000000e+01,3.156133536681455243e-01
9.800000000000000000e+01,3.210112366509804138e-01
9.900000000000000000e+01,3.264495501365122232e-01
1.000000000000000000e+02,3.319281932945390978e-01
1.010000000000000000e+02,3.374470652948589056e-01
1.020000000000000000e+02,3.430060653072699028e-01
1.030000000000000000e+02,3.486050925015699575e-01
1.040000000000000000e+02,3.542440460475571040e-01
1.050000000000000000e+02,3.599228251150294877e-01
1.060000000000000000e+02,3.656413288737849765e-01
1.070000000000000000e+02,3.713994564936217713e-01
1.080000000000000000e+02,3.771971071443379064e-01
1.090000000000000000e+02,3.830341799957311943e-01
1.100000000000000000e+02,3.889105742175999469e-01
1.110000000000000000e+02,3.948261889797419766e-01
1.120000000000000000e+02,4.007809234519554842e-01
1.130000000000000000e+02,4.067746768040383376e-01
1.140000000000000000e+02,4.128073482057887933e-01
1.150000000000000000e+02,4.188788368270047191e-01
1.160000000000000000e+02,4.249890418374840939e-01
1.170000000000000000e+02,4.311378624070251742e-01
1.180000000000000000e+02,4.373251977054258277e-01
1.190000000000000000e+02,4.435509469024840890e-01
1.200000000000000000e+02,4.498150091679981033e-01
1.210000000000000000e+02,4.561172836717657386e-01
1.220000000000000000e+02,4.624576695835851958e-01
1.230000000000000000e+02,4.688360660732542873e-01
1.240000000000000000e+02,4.752523723105713804e-01
1.250000000000000000e+02,4.817064874653342321e-01
1.260000000000000000e+02,4.881983107073409878e-01
1.270000000000000000e+02,4.947277412063896818e-01
1.280000000000000000e+02,5.012946781322783485e-01
1.290000000000000000e+02,5.078990206548048558e-01
1.300000000000000000e+02,5.145406679437675157e-01
1.310000000000000000e+02,5.212195191689641405e-01
1.320000000000000000e+02,5.279354735001929866e-01
1.330000000000000000e+02,5.346884301072519774e-01
1.340000000000000000e+02,5.414782881599389253e-01
1.350000000000000000e+02,5.483049468280520866e-01
1.360000000000000000e+02,5.551683052813896069e-01
1.370000000000000000e+02,5.620682626897492984e-01
1.380000000000000000e+02,5.690047182229293066e-01
1.390000000000000000e+02,5.759775710507276658e-01
1.400000000000000000e+02,5.829867203429424105e-01
1.410000000000000000e+02,5.900320652693714640e-01
1.420000000000000000e+02,5.971135049998129718e-01
1.430000000000000000e+02,6.042309387040648572e-01
1.440000000000000000e+02,6.113842655519252656e-01
1.450000000000000000e+02,6.185733847131924534e-01
1.460000000000000000e+02,6.257981953576639000e-01
1.470000000000000000e+02,6.330585966551380839e-01
1.480000000000000000e+02,6.403544877754129283e-01
1.490000000000000000e+02,6.476857678882863567e-01
1.500000000000000000e+02,6.550523361635564035e-01
1.510000000000000000e+02,6.624540917710214361e-01
1.520000000000000000e+02,6.698909338804790448e-01
1.530000000000000000e+02,6.773627616617274860e-01
1.540000000000000000e+02,6.848694742845649053e-01
1.550000000000000000e+02,6.924109709187890038e-01
1.560000000000000000e+02,6.999871507341980381e-01
1.570000000000000000e+02,7.075979129005900425e-01
1.580000000000000000e+02,7.152431565877630515e-01
1.590000000000000000e+02,7.229227809655150994e-01
1.600000000000000000e+02,7.306366852036441095e-01
1.610000000000000000e+02,7.383847684719481164e-01
